周恩来,中共中央,"['实际上', '，', '还', '在', '政协', '召开', '前', '，', '周恩来', '即', '在', '给', '中共中央', '的', '报告', '中', '提出', '，', '如果', '能', '在', '政协', '中', '商定', '宪', '草原', '则', '，', '国大', '只', '限于', '在', '形式', '上', '通过', '宪法', '，', '并', '增加', '中共', '和', '各党派', '代表', '，', '旧', '代表', '的', '作用', '就', '不', '大', '了', '，', '还', '可', '永久', '保留', '我们', '批评', '旧', '代表', '的', '权利', '（', '《周恩来一九四六年谈判文选》', '，', '第', '12', '页', '）', '。']","(12, 13)","(8, 9)",1945-1949：国共政争与中国命运.txt
刘季洪,西北大学,"['接着', '，', '刘季洪', '（', '中', '执委', '、', '西北大学', '校长', '、', 'CC', '系', '）', '等', '六人', '提议', '：', '“', '此次', '政治协商会议', '之', '主要', '目的', '，', '在', '求', '军队', '国家化', '，', '中共军队', '究竟', '能否', '遵照', '协议', '改编', '？']","(7, 8)","(2, 3)",1945-1949：国共政争与中国命运.txt
梁漱溟,中国文史出版社,"['（', '梁漱溟', '：', '《忆往谈旧录》', '，', '中国', '文史', '出版社', '，', '1987', '，', '第', '244', '页', '）', '甚而', '接近', '国民党', '的', '青年党', '领袖', '曾琦', '也', '曾', '表示', '，', '他们', '一贯主张', '中央政府', '采用', '责任', '内阁制', '，', '但', '既然', '是', '大多数', '协议', '，', '青年党', '为求', '和谐', '起', '见', '，', '愿意', '放弃', '其', '主张', '，', '同意', '大家', '意见', '。']","(5, 8)","(1, 2)",1945-1949：国共政争与中国命运.txt
王世泰,晋绥军区,"['分属', '陕甘宁', '晋绥', '联防军', '（', '3', '万人', '，', '代', '司令员', '王世泰', '）', '、', '晋绥', '军区', '（', '5', '万人', '，', '司令员', '贺龙', '）', '、', '晋冀鲁豫', '军区', '（', '27', '万人', '，', '司令员', '刘伯承', '）', '、', '新四军', '兼', '山东', '军区', '（', '42', '万人', '，', '军长', '兼', '司令员', '陈毅', '，', '1947', '年', '1', '月底', '改称', '华东野战军', '）', '、', '东北民主联军', '（', '30', '万人', '，', '司令员', '林彪', '）', '、', '晋察冀军区', '（', '20', '万人', '，', '司令员', '聂荣臻', '）', '、', '中原军区', '（', '5', '万人', '，', '司令员', '李先念', '）', '等', '战略区', '，', '另有', '炮兵', '1', '个', '旅', '，', '14', '个团', '，', '17', '个营', '，', '38', '个', '连', '，', '没有', '海', '、', '空军', '。']","(13, 15)","(10, 11)",1945-1949：国共政争与中国命运.txt
贺龙,晋冀鲁豫军区,"['分属', '陕甘宁', '晋绥', '联防军', '（', '3', '万人', '，', '代', '司令员', '王世泰', '）', '、', '晋绥', '军区', '（', '5', '万人', '，', '司令员', '贺龙', '）', '、', '晋冀鲁豫', '军区', '（', '27', '万人', '，', '司令员', '刘伯承', '）', '、', '新四军', '兼', '山东', '军区', '（', '42', '万人', '，', '军长', '兼', '司令员', '陈毅', '，', '1947', '年', '1', '月底', '改称', '华东野战军', '）', '、', '东北民主联军', '（', '30', '万人', '，', '司令员', '林彪', '）', '、', '晋察冀军区', '（', '20', '万人', '，', '司令员', '聂荣臻', '）', '、', '中原军区', '（', '5', '万人', '，', '司令员', '李先念', '）', '等', '战略区', '，', '另有', '炮兵', '1', '个', '旅', '，', '14', '个团', '，', '17', '个营', '，', '38', '个', '连', '，', '没有', '海', '、', '空军', '。']","(23, 25)","(20, 21)",1945-1949：国共政争与中国命运.txt
刘伯承,山东军区,"['分属', '陕甘宁', '晋绥', '联防军', '（', '3', '万人', '，', '代', '司令员', '王世泰', '）', '、', '晋绥', '军区', '（', '5', '万人', '，', '司令员', '贺龙', '）', '、', '晋冀鲁豫', '军区', '（', '27', '万人', '，', '司令员', '刘伯承', '）', '、', '新四军', '兼', '山东', '军区', '（', '42', '万人', '，', '军长', '兼', '司令员', '陈毅', '，', '1947', '年', '1', '月底', '改称', '华东野战军', '）', '、', '东北民主联军', '（', '30', '万人', '，', '司令员', '林彪', '）', '、', '晋察冀军区', '（', '20', '万人', '，', '司令员', '聂荣臻', '）', '、', '中原军区', '（', '5', '万人', '，', '司令员', '李先念', '）', '等', '战略区', '，', '另有', '炮兵', '1', '个', '旅', '，', '14', '个团', '，', '17', '个营', '，', '38', '个', '连', '，', '没有', '海', '、', '空军', '。']","(35, 37)","(30, 31)",1945-1949：国共政争与中国命运.txt
蒋介石,徐州绥署,"['4', '月', '5', '日', '，', '蒋介石', '致电', '徐州', '绥署', '主任', '顾祝同', '与', '郑州', '绥署', '主任', '刘峙', '，', '要求', '“', '一面', '缩编', '，', '一面', '训练', '，', '以期', '随时', '可以', '应战', '也', '。', '”']","(7, 9)","(5, 6)",1945-1949：国共政争与中国命运.txt
蒋介石,郑州绥署,"['4', '月', '5', '日', '，', '蒋介石', '致电', '徐州', '绥署', '主任', '顾祝同', '与', '郑州', '绥署', '主任', '刘峙', '，', '要求', '“', '一面', '缩编', '，', '一面', '训练', '，', '以期', '随时', '可以', '应战', '也', '。', '”']","(12, 14)","(5, 6)",1945-1949：国共政争与中国命运.txt
顾祝同,郑州绥署,"['4', '月', '5', '日', '，', '蒋介石', '致电', '徐州', '绥署', '主任', '顾祝同', '与', '郑州', '绥署', '主任', '刘峙', '，', '要求', '“', '一面', '缩编', '，', '一面', '训练', '，', '以期', '随时', '可以', '应战', '也', '。', '”']","(12, 14)","(10, 11)",1945-1949：国共政争与中国命运.txt
李仙洲,率部,"['1947', '年', '2', '月', '，', '守', '莱芜', '的', '第二', '绥区', '副司令', '李仙洲', '突围', '心切', '，', '率部', '出', '莱芜', '城后', '，', '未派', '部队', '占据', '突围', '路线', '外侧', '山地', '要点', '掩护', '，', '也', '未', '派', '部队', '留守', '莱芜', '以为', '支持', '，', '结果', '被', '中共', '华东野战军', '于', '前', '设伏', '，', '于', '后断', '其', '回城', '之', '路', '，', '而', '李', '部位', '于', '狭长', '地段', '，', '机动', '空间', '有限', '，', '不能', '展开', '，', '只能', '被迫', '向', '内', '收缩', '，', '致', '互相', '拥挤', '，', '队形', '大乱', '，', '无法', '实施', '有效', '指挥', '。']","(15, 16)","(11, 12)",1945-1949：国共政争与中国命运.txt
