Ns,BOOK,"(6, 7)","(7, 8)",香港,《广角镜》,"['１', '９', '８', '６', '年', '，', '香港', '《广角镜》', '月刊', '４', '月', '号', '发表', '署名文章', '指出', '：', '“', '对', '五十岁', '以下', '的', '中国', '人', '来说', '，', '张学良', '就象', '一个', '活', '的', '影子', '，', '没有', '人', '不', '知道', '他', '，', '但', '也', '没有', '人见', '过', '他', '。']",张学良传.txt
Ns,Nh,"(21, 22)","(25, 26)",中国,张学良,"['１', '９', '８', '６', '年', '，', '香港', '《广角镜》', '月刊', '４', '月', '号', '发表', '署名文章', '指出', '：', '“', '对', '五十岁', '以下', '的', '中国', '人', '来说', '，', '张学良', '就象', '一个', '活', '的', '影子', '，', '没有', '人', '不', '知道', '他', '，', '但', '也', '没有', '人见', '过', '他', '。']",张学良传.txt
Nh,Nh,"(31, 32)","(34, 35)",蒋经国,张学良,"['一位', '驻', '北京', '多年', '的', '外国', '记者', '表示', '，', '中共', '的', '许多', '高级', '政要', '，', '甚至', '一般', '民众', '，', '对', '国民党', '健在', '的', '政治', '人物', '，', '最', '感兴趣', '的', '，', '除了', '蒋经国', '，', '就是', '张学良', '了', '。', '”']",张学良传.txt
Nh,Ni,"(6, 7)","(8, 9)",张学良,东北大学,"['１', '９', '３', '４', '年', '，', '张学良', '为', '东北大学', '校刊', '题词', '：', '“', '现在', '唯一', '救国', '之方', '，', '是', '坚确', '决心', '，', '把', '我', '自己', '无条件', '的', '供', '献给', '社会', '和', '我', '的', '国家', '”', '。']",张学良传.txt
Nh,Nh,"(9, 10)","(11, 12)",周恩来,习仲勋,"['在', '纪念', '西安事变', '二十周年', '和', '五十周年', '大会', '上', '，', '周恩来', '和', '习仲勋', '先后', '代表', '我党', '高度', '赞誉', '张学良', '与', '杨虎城', '是', '千古', '功臣', '、', '民族英雄', '。']",张学良传.txt
Nh,Nh,"(11, 12)","(17, 18)",习仲勋,张学良,"['在', '纪念', '西安事变', '二十周年', '和', '五十周年', '大会', '上', '，', '周恩来', '和', '习仲勋', '先后', '代表', '我党', '高度', '赞誉', '张学良', '与', '杨虎城', '是', '千古', '功臣', '、', '民族英雄', '。']",张学良传.txt
Nh,Nh,"(17, 18)","(19, 20)",张学良,杨虎城,"['在', '纪念', '西安事变', '二十周年', '和', '五十周年', '大会', '上', '，', '周恩来', '和', '习仲勋', '先后', '代表', '我党', '高度', '赞誉', '张学良', '与', '杨虎城', '是', '千古', '功臣', '、', '民族英雄', '。']",张学良传.txt
Nh,BOOK,"(11, 12)","(15, 16)",由范克明,《张学良传》,"['最近', '，', '我', '一口气', '读完', '了', '即将', '由', '长江文艺出版社', '出版', '、', '由范克明', '同志', '撰写', '的', '《张学良传》', '一书', '，', '心情', '久久', '不能平静', '。']",张学良传.txt
Nh,Ns,"(1, 2)","(8, 11)",张学良,湘西沅陵凤凰山,"['这是', '张学良', '在', '抗日战争', '时期', '被', '囚禁', '在', '湘西', '沅陵', '凤凰山', '时', '，', '题写', '在', '凤凰', '古寺', '墙壁', '上', '的', '一首', '诗', '，', '题为', '《自我遗憾作》', '。']",张学良传.txt
Nh,Nh,"(7, 8)","(9, 10)",蒋介石,宋氏,"['五十多年', '前', '，', '在', '西安事变', '和平解决', '，', '蒋介石', '和', '宋氏', '兄妹', '等', '作出', '所谓', '“', '人格担保', '”', '和', '保证', '张学良', '安全', '的', '许诺', '之后', '，', '张学良', '只身', '护送', '蒋介石', '回', '南京', '，', '不料', '却', '被', '扣留', '；']",张学良传.txt
