Ns,Ns,"(80, 81)","(86, 87)",渤海,滦河,"['\ufeff', '中华', '名人', '传记', '李大钊', '传', ' ', '·', '1', '·', '目', ' ', '录', '第一章', ' ', '勤学', '矢志', '002', '第二章', ' ', '传播', '“', '马列', '”', '014', '第三章', ' ', '“', '五四', '”', '时期', '026', '第四章', ' ', '建党', '前夕', '044', '第五章', ' ', '“', '二七', '”', '风暴', '063', '第六章', ' ', '联合战线', '083', '第七章', ' ', '“', '五卅', '”', '前后', '096', '第八章', ' ', '精神', '不死', '113', ' ', '·', '2', '·', '第一章', ' ', '勤学', '矢志', '在', '那', '广阔', '的', '冀东', '平原', '东端', '，', '濒临', '波涛', '澎湃', '的', '渤海', '，', '紧靠着', '改道', '前', '的', '滦河', '，', '有着', '一望无垠', '的', '田野', '和', '一片', '一片', '错落有致', '的', '村庄', '。']",世界名人传记《李大钊传》.txt
Ni,Nh,"(0, 3)","(7, 8)",中国共产主义运动,李大钊,"['中国', '共产主义', '运动', '的', '先驱者', '—', '—', '李大钊', '，', '就', '诞生', '在', '那里', '—', '—', '河北省', '乐亭县', '大黑', '坨', '村', '，', '那', '一天', '是', '—', '—', ' ', '公元', '１', '８', '８', '９', '年', '１', '０', '月', '２', '９', '日', '(', '清光绪', '十五年', '阴历', '十月', '六日', ')', '。']",世界名人传记《李大钊传》.txt
BOOK,BOOK,"(36, 37)","(38, 39)",《三字经》,《百家姓》,"['李大钊', '在', '一', '心想', '把', '孙儿', '培养', '成能', '光宗耀祖', '的', '读书人', '的', '老', '祖父', '严厉', '督促', '下', '，', '３', '岁', '起', '就', '在', '祖父', '的', '启蒙', '下学', '着', '认字', '，', '５', '岁', '时', '就', '开始', '读', '《三字经》', '、', '《百家姓》', '、', '《千字文》', '等', '启蒙', '书', '。']",世界名人传记《李大钊传》.txt
BOOK,BOOK,"(36, 37)","(40, 41)",《三字经》,《千字文》,"['李大钊', '在', '一', '心想', '把', '孙儿', '培养', '成能', '光宗耀祖', '的', '读书人', '的', '老', '祖父', '严厉', '督促', '下', '，', '３', '岁', '起', '就', '在', '祖父', '的', '启蒙', '下学', '着', '认字', '，', '５', '岁', '时', '就', '开始', '读', '《三字经》', '、', '《百家姓》', '、', '《千字文》', '等', '启蒙', '书', '。']",世界名人传记《李大钊传》.txt
BOOK,BOOK,"(38, 39)","(40, 41)",《百家姓》,《千字文》,"['李大钊', '在', '一', '心想', '把', '孙儿', '培养', '成能', '光宗耀祖', '的', '读书人', '的', '老', '祖父', '严厉', '督促', '下', '，', '３', '岁', '起', '就', '在', '祖父', '的', '启蒙', '下学', '着', '认字', '，', '５', '岁', '时', '就', '开始', '读', '《三字经》', '、', '《百家姓》', '、', '《千字文》', '等', '启蒙', '书', '。']",世界名人传记《李大钊传》.txt
Nh,Nh,"(0, 1)","(5, 6)",李大钊,小黑,"['李大钊', '后来', '又', '先后', '从学于', '小黑', '坨', '村', '的', '一个', '秀才', '赵辉斗', '和', '井家', '坨', '宋举', '人家', '一个', '叫', '黄玉', '堂', '的', '先生', '，', '直至', '考入', '永平', '府', '中学', '。']",世界名人传记《李大钊传》.txt
Nh,Nh,"(5, 6)","(11, 12)",小黑,赵辉斗,"['李大钊', '后来', '又', '先后', '从学于', '小黑', '坨', '村', '的', '一个', '秀才', '赵辉斗', '和', '井家', '坨', '宋举', '人家', '一个', '叫', '黄玉', '堂', '的', '先生', '，', '直至', '考入', '永平', '府', '中学', '。']",世界名人传记《李大钊传》.txt
Nh,Nh,"(11, 12)","(15, 16)",赵辉斗,宋举,"['李大钊', '后来', '又', '先后', '从学于', '小黑', '坨', '村', '的', '一个', '秀才', '赵辉斗', '和', '井家', '坨', '宋举', '人家', '一个', '叫', '黄玉', '堂', '的', '先生', '，', '直至', '考入', '永平', '府', '中学', '。']",世界名人传记《李大钊传》.txt
Nh,Nh,"(15, 16)","(19, 20)",宋举,黄玉,"['李大钊', '后来', '又', '先后', '从学于', '小黑', '坨', '村', '的', '一个', '秀才', '赵辉斗', '和', '井家', '坨', '宋举', '人家', '一个', '叫', '黄玉', '堂', '的', '先生', '，', '直至', '考入', '永平', '府', '中学', '。']",世界名人传记《李大钊传》.txt
Nh,Ni,"(19, 20)","(26, 29)",黄玉,永平府中学,"['李大钊', '后来', '又', '先后', '从学于', '小黑', '坨', '村', '的', '一个', '秀才', '赵辉斗', '和', '井家', '坨', '宋举', '人家', '一个', '叫', '黄玉', '堂', '的', '先生', '，', '直至', '考入', '永平', '府', '中学', '。']",世界名人传记《李大钊传》.txt
Ni,Nh,"(2, 5)","(6, 7)",永平府中学,李大钊,"['进', '了', '永平', '府', '中学', '，', '李大钊', '仍', '是', '勤奋好学', '，', '每次', '考试', '都', '名列前茅', '。']",世界名人传记《李大钊传》.txt
Nh,Ns,"(0, 1)","(7, 8)",李大钊,中国,"['李大钊', '的', '少年', '读书', '时代', '，', '正是', '中国', '人民', '反抗', '帝国', ' ', '·', '4', '·', '主义', '及其', '走狗', '的', '斗争', '时代', '。']",世界名人传记《李大钊传》.txt
Ns,Ni,"(18, 19)","(23, 25)",冀东,义和团组织,"['５', '岁', '时', '，', '发生', '了', '中日', '甲午战争', '，', '１', '１', '岁', '那年', '，', '爆发', '了', '义和团运动', '，', '冀东', '各地', '普遍', '建立', '了', '义和团', '组织', '。']",世界名人传记《李大钊传》.txt
Ns,Ns,"(4, 5)","(11, 12)",乐亭,滦州,"['不久', '，', '八国联军', '侵至', '乐亭', '附近', '，', '占据', '了', '昌黎', '、', '滦州', '等', '地', '。']",世界名人传记《李大钊传》.txt
