Ni,Ns,"(0, 3)","(5, 6)",苏河北路,上海,"['苏', '河北', '路', '是', '旧', '上海', '有名', '的', '棚户区', ',', '弄堂', '窄窄的', ',', '没有', '光', ',', '潮湿', '的', '墙壁', '滑腻', '腻', '的', ',', '仔细', '望去', ',', '上面', '还有', '一些', '绿色', '藓苔', '.', ' ', '这些', '阴暗', '潮湿', '的', '小巷', ',', '就是', '上海', '人常', '说', '的', '弄堂', '.', '“', '弄堂', '”', '是', '上海', '人', '对', '里弄', '的', '俗称', '，', '“', '里弄', '房子', '”', '就是', '弄堂', '建筑', '。']",叶惊鸿-民国风云.txt
Ns,Ns,"(7, 8)","(12, 13)",江南,中国,"['于是', '在', '19', '世纪', '五十年代', '太平天国运动', '进入', '江南', '，', '大量', '富有', '的', '中国', '难民', '要求', '移入', '的', '情况', '下', '，', '租界', '当局', '便', '顺水推舟', '，', '将', '租界', '向', '中国', '居民', '开放', '。']",叶惊鸿-民国风云.txt
Ns,Ns,"(3, 4)","(5, 6)",闸北,南市,"['一般来说', '，', '位于', '闸北', '、', '南市', '的', '较差', '，', '虹口', '稍微', '好些', '，', '静安寺', '路', '和', '霞飞路', '一带', '最好', '。']",叶惊鸿-民国风云.txt
Ns,Ns,"(3, 4)","(9, 10)",闸北,虹口,"['一般来说', '，', '位于', '闸北', '、', '南市', '的', '较差', '，', '虹口', '稍微', '好些', '，', '静安寺', '路', '和', '霞飞路', '一带', '最好', '。']",叶惊鸿-民国风云.txt
Ns,Ns,"(5, 6)","(9, 10)",南市,虹口,"['一般来说', '，', '位于', '闸北', '、', '南市', '的', '较差', '，', '虹口', '稍微', '好些', '，', '静安寺', '路', '和', '霞飞路', '一带', '最好', '。']",叶惊鸿-民国风云.txt
Ns,Ns,"(9, 10)","(13, 14)",虹口,静安寺,"['一般来说', '，', '位于', '闸北', '、', '南市', '的', '较差', '，', '虹口', '稍微', '好些', '，', '静安寺', '路', '和', '霞飞路', '一带', '最好', '。']",叶惊鸿-民国风云.txt
Ns,Ns,"(9, 10)","(16, 17)",虹口,霞飞路,"['一般来说', '，', '位于', '闸北', '、', '南市', '的', '较差', '，', '虹口', '稍微', '好些', '，', '静安寺', '路', '和', '霞飞路', '一带', '最好', '。']",叶惊鸿-民国风云.txt
Ns,Ns,"(13, 14)","(16, 17)",静安寺,霞飞路,"['一般来说', '，', '位于', '闸北', '、', '南市', '的', '较差', '，', '虹口', '稍微', '好些', '，', '静安寺', '路', '和', '霞飞路', '一带', '最好', '。']",叶惊鸿-民国风云.txt
Ns,Nh,"(23, 24)","(30, 31)",中国,吴佩孚,"['毕竟', '才', '十九岁', '的', '年纪', '，', '白天', '在', '外面', '走走', '，', '知道', '现在', '上海', '还是', '原来', '历史', '中', '的', '情形', '，', '此时', '的', '中国', '直奉', '军阀', '刚刚', '结束', '混战', '，', '吴佩孚', '大获全胜', '，', '威名', '天下', '皆', '只', '，', '而', '孙中山', '还', '在', '广州', '苦苦', '挣扎', '，', '妄图', '借助', '滇', '粤', '军阀', '北伐', '。']",叶惊鸿-民国风云.txt
Nh,Ns,"(39, 40)","(42, 43)",孙中山,广州,"['毕竟', '才', '十九岁', '的', '年纪', '，', '白天', '在', '外面', '走走', '，', '知道', '现在', '上海', '还是', '原来', '历史', '中', '的', '情形', '，', '此时', '的', '中国', '直奉', '军阀', '刚刚', '结束', '混战', '，', '吴佩孚', '大获全胜', '，', '威名', '天下', '皆', '只', '，', '而', '孙中山', '还', '在', '广州', '苦苦', '挣扎', '，', '妄图', '借助', '滇', '粤', '军阀', '北伐', '。']",叶惊鸿-民国风云.txt
Ns,Ns,"(42, 43)","(49, 50)",广州,粤,"['毕竟', '才', '十九岁', '的', '年纪', '，', '白天', '在', '外面', '走走', '，', '知道', '现在', '上海', '还是', '原来', '历史', '中', '的', '情形', '，', '此时', '的', '中国', '直奉', '军阀', '刚刚', '结束', '混战', '，', '吴佩孚', '大获全胜', '，', '威名', '天下', '皆', '只', '，', '而', '孙中山', '还', '在', '广州', '苦苦', '挣扎', '，', '妄图', '借助', '滇', '粤', '军阀', '北伐', '。']",叶惊鸿-民国风云.txt
