Ns,Ns,"(24, 25)","(30, 31)",大渡河,青衣江,"['这', '是', '由', '其', '“', '故乡', '的', '两条', '河', '，', '沫', '水', '与', '若水', '合拢', '来', '的', '”', '，', '“', '沫', '水', '”', '即', '大渡河', '，', '“', '若水', '”', '即', '青衣江', '，', '名号', '意在', '不', '忘', '故土', '。']",大师系列传记_郭沫若传.txt
Nh,Ns,"(0, 1)","(3, 4)",郭家,福建省,"['郭家', '原籍', '本是', '福建省', '汀', '州府', '宁化县', '，', '据说', '祖先', '“', '是', '背着', '两个', '麻布', '上川', '的', '”', '，', '靠', '几代人', '的', '惨淡经营', '，', '家', '道', '几经', '兴衰', '，', '直到', '郭开贞', '父亲', '一代', '，', '才', '真正', '成', '了', '殷实', '的', '中等', '地主', '兼', '商人', '家庭', '。']",大师系列传记_郭沫若传.txt
Nh,Ns,"(0, 1)","(6, 7)",郭家,宁化县,"['郭家', '原籍', '本是', '福建省', '汀', '州府', '宁化县', '，', '据说', '祖先', '“', '是', '背着', '两个', '麻布', '上川', '的', '”', '，', '靠', '几代人', '的', '惨淡经营', '，', '家', '道', '几经', '兴衰', '，', '直到', '郭开贞', '父亲', '一代', '，', '才', '真正', '成', '了', '殷实', '的', '中等', '地主', '兼', '商人', '家庭', '。']",大师系列传记_郭沫若传.txt
Ns,Ns,"(3, 4)","(6, 7)",福建省,宁化县,"['郭家', '原籍', '本是', '福建省', '汀', '州府', '宁化县', '，', '据说', '祖先', '“', '是', '背着', '两个', '麻布', '上川', '的', '”', '，', '靠', '几代人', '的', '惨淡经营', '，', '家', '道', '几经', '兴衰', '，', '直到', '郭开贞', '父亲', '一代', '，', '才', '真正', '成', '了', '殷实', '的', '中等', '地主', '兼', '商人', '家庭', '。']",大师系列传记_郭沫若传.txt
Nh,Nh,"(61, 63)","(65, 66)",郭明德,秀山,"['父亲', '郭朝沛', '（', '1853', '—', '1939', '）', '，', '字膏', '如', '，', '秉性', '耿介', '，', '精明能干', '，', '早年', '辍学', '从商', '，', '酿酒', '、', '榨油', '、', '兑换', '银钱', '、', '粜', '纳', '五谷', '，', '甚至', '贩卖', '烟土', '，', '“', '所', '企之业', '，', '业', '无不', '成', '”', '，', '未及', '成年', '就', '为', '四世同堂', '、', '伯叔', '共炊', '的', '大家庭', '当家', '管事', '，', '终于', '把', '开贞', '祖父', '郭', '明德', '（', '字', '秀山', '）', '因', '仗义疏财', '而', '凋零', '了', '的', '家业', '重振', '起来', '。']",大师系列传记_郭沫若传.txt
BOOK,BOOK,"(1, 2)","(4, 5)",《先考膏如府君行述》,《德音录》,"['①', '《先考膏如府君行述》', '，', '见', '《德音录》', '。']",大师系列传记_郭沫若传.txt
Nh,Ns,"(17, 18)","(22, 24)",杜琢璋,贵州黄平,"['母亲', '杜邀', '贞', '（', '1857', '—', '1932', '）', '，', '出身', '州官', '门第', '，', '由于', '开贞', '的', '外祖父', '杜琢璋', '（', '字宝田', '）', '任职', '贵州', '黄平', '期间', '遇苗民', '“', '造反', '”', '，', '全家', '自杀', '殉节', '，', '幸有', '奶妈', '搭救', '，', '逃回', '四川省', '乐山', '县', '杜家', '场', '，', '十五岁', '就', '下嫁', '到', '郭家', '。']",大师系列传记_郭沫若传.txt
Nh,Ns,"(2, 3)","(5, 6)",沈名,乐山,"['塾师', '姓', '沈名', '焕章', '，', '乐山', '邻县', '犍为', '人', '，', '他', '把', '这', '所', '面对', '绥山', '的', '家塾', '命名', '为', '“', '绥山山馆', '”', '①', '。']",大师系列传记_郭沫若传.txt
BOOK,BOOK,"(13, 14)","(15, 16)",《三字经》,《诗品》,"['②', '经', '沈先生', '朱砂', '笔', '圈点', '，', '开贞', '先后', '读', '的', '古书', '有', '《三字经》', '、', '《诗品》', '、', '《唐诗》', '、', '《诗经》', '、', '《书经》', '、', '《春秋》', '、', '《古文观止》', '，', '等等', '。']",大师系列传记_郭沫若传.txt
BOOK,BOOK,"(13, 14)","(17, 18)",《三字经》,《唐诗》,"['②', '经', '沈先生', '朱砂', '笔', '圈点', '，', '开贞', '先后', '读', '的', '古书', '有', '《三字经》', '、', '《诗品》', '、', '《唐诗》', '、', '《诗经》', '、', '《书经》', '、', '《春秋》', '、', '《古文观止》', '，', '等等', '。']",大师系列传记_郭沫若传.txt
BOOK,BOOK,"(13, 14)","(19, 20)",《三字经》,《诗经》,"['②', '经', '沈先生', '朱砂', '笔', '圈点', '，', '开贞', '先后', '读', '的', '古书', '有', '《三字经》', '、', '《诗品》', '、', '《唐诗》', '、', '《诗经》', '、', '《书经》', '、', '《春秋》', '、', '《古文观止》', '，', '等等', '。']",大师系列传记_郭沫若传.txt
BOOK,BOOK,"(15, 16)","(17, 18)",《诗品》,《唐诗》,"['②', '经', '沈先生', '朱砂', '笔', '圈点', '，', '开贞', '先后', '读', '的', '古书', '有', '《三字经》', '、', '《诗品》', '、', '《唐诗》', '、', '《诗经》', '、', '《书经》', '、', '《春秋》', '、', '《古文观止》', '，', '等等', '。']",大师系列传记_郭沫若传.txt
BOOK,BOOK,"(15, 16)","(19, 20)",《诗品》,《诗经》,"['②', '经', '沈先生', '朱砂', '笔', '圈点', '，', '开贞', '先后', '读', '的', '古书', '有', '《三字经》', '、', '《诗品》', '、', '《唐诗》', '、', '《诗经》', '、', '《书经》', '、', '《春秋》', '、', '《古文观止》', '，', '等等', '。']",大师系列传记_郭沫若传.txt
BOOK,BOOK,"(15, 16)","(21, 22)",《诗品》,《书经》,"['②', '经', '沈先生', '朱砂', '笔', '圈点', '，', '开贞', '先后', '读', '的', '古书', '有', '《三字经》', '、', '《诗品》', '、', '《唐诗》', '、', '《诗经》', '、', '《书经》', '、', '《春秋》', '、', '《古文观止》', '，', '等等', '。']",大师系列传记_郭沫若传.txt
BOOK,BOOK,"(17, 18)","(19, 20)",《唐诗》,《诗经》,"['②', '经', '沈先生', '朱砂', '笔', '圈点', '，', '开贞', '先后', '读', '的', '古书', '有', '《三字经》', '、', '《诗品》', '、', '《唐诗》', '、', '《诗经》', '、', '《书经》', '、', '《春秋》', '、', '《古文观止》', '，', '等等', '。']",大师系列传记_郭沫若传.txt
BOOK,BOOK,"(17, 18)","(21, 22)",《唐诗》,《书经》,"['②', '经', '沈先生', '朱砂', '笔', '圈点', '，', '开贞', '先后', '读', '的', '古书', '有', '《三字经》', '、', '《诗品》', '、', '《唐诗》', '、', '《诗经》', '、', '《书经》', '、', '《春秋》', '、', '《古文观止》', '，', '等等', '。']",大师系列传记_郭沫若传.txt
BOOK,BOOK,"(17, 18)","(23, 24)",《唐诗》,《春秋》,"['②', '经', '沈先生', '朱砂', '笔', '圈点', '，', '开贞', '先后', '读', '的', '古书', '有', '《三字经》', '、', '《诗品》', '、', '《唐诗》', '、', '《诗经》', '、', '《书经》', '、', '《春秋》', '、', '《古文观止》', '，', '等等', '。']",大师系列传记_郭沫若传.txt
BOOK,BOOK,"(19, 20)","(21, 22)",《诗经》,《书经》,"['②', '经', '沈先生', '朱砂', '笔', '圈点', '，', '开贞', '先后', '读', '的', '古书', '有', '《三字经》', '、', '《诗品》', '、', '《唐诗》', '、', '《诗经》', '、', '《书经》', '、', '《春秋》', '、', '《古文观止》', '，', '等等', '。']",大师系列传记_郭沫若传.txt
BOOK,BOOK,"(19, 20)","(23, 24)",《诗经》,《春秋》,"['②', '经', '沈先生', '朱砂', '笔', '圈点', '，', '开贞', '先后', '读', '的', '古书', '有', '《三字经》', '、', '《诗品》', '、', '《唐诗》', '、', '《诗经》', '、', '《书经》', '、', '《春秋》', '、', '《古文观止》', '，', '等等', '。']",大师系列传记_郭沫若传.txt
BOOK,BOOK,"(19, 20)","(25, 26)",《诗经》,《古文观止》,"['②', '经', '沈先生', '朱砂', '笔', '圈点', '，', '开贞', '先后', '读', '的', '古书', '有', '《三字经》', '、', '《诗品》', '、', '《唐诗》', '、', '《诗经》', '、', '《书经》', '、', '《春秋》', '、', '《古文观止》', '，', '等等', '。']",大师系列传记_郭沫若传.txt
BOOK,BOOK,"(21, 22)","(23, 24)",《书经》,《春秋》,"['②', '经', '沈先生', '朱砂', '笔', '圈点', '，', '开贞', '先后', '读', '的', '古书', '有', '《三字经》', '、', '《诗品》', '、', '《唐诗》', '、', '《诗经》', '、', '《书经》', '、', '《春秋》', '、', '《古文观止》', '，', '等等', '。']",大师系列传记_郭沫若传.txt
BOOK,BOOK,"(21, 22)","(25, 26)",《书经》,《古文观止》,"['②', '经', '沈先生', '朱砂', '笔', '圈点', '，', '开贞', '先后', '读', '的', '古书', '有', '《三字经》', '、', '《诗品》', '、', '《唐诗》', '、', '《诗经》', '、', '《书经》', '、', '《春秋》', '、', '《古文观止》', '，', '等等', '。']",大师系列传记_郭沫若传.txt
BOOK,BOOK,"(23, 24)","(25, 26)",《春秋》,《古文观止》,"['②', '经', '沈先生', '朱砂', '笔', '圈点', '，', '开贞', '先后', '读', '的', '古书', '有', '《三字经》', '、', '《诗品》', '、', '《唐诗》', '、', '《诗经》', '、', '《书经》', '、', '《春秋》', '、', '《古文观止》', '，', '等等', '。']",大师系列传记_郭沫若传.txt
BOOK,BOOK,"(1, 2)","(4, 5)",《先妣事略》,《德音录》,"['②', '《先妣事略》', '，', '见', '《德音录》', '。']",大师系列传记_郭沫若传.txt
Nh,Nh,"(12, 13)","(14, 15)",王维,孟浩然,"['《唐诗》', '也', '给', '了', '他', '莫大', '的', '兴会', '，', '他', '“', '喜欢', '王维', '、', '孟浩然', '，', '喜欢', '李白', '、', '柳宗元', '，', '而', '不', '甚', '喜欢', '杜甫', '，', '更', '有点', '痛恨', '韩退', '之', '”', '①', '。']",大师系列传记_郭沫若传.txt
Nh,Nh,"(12, 13)","(17, 18)",王维,李白,"['《唐诗》', '也', '给', '了', '他', '莫大', '的', '兴会', '，', '他', '“', '喜欢', '王维', '、', '孟浩然', '，', '喜欢', '李白', '、', '柳宗元', '，', '而', '不', '甚', '喜欢', '杜甫', '，', '更', '有点', '痛恨', '韩退', '之', '”', '①', '。']",大师系列传记_郭沫若传.txt
Nh,Nh,"(12, 13)","(19, 20)",王维,柳宗元,"['《唐诗》', '也', '给', '了', '他', '莫大', '的', '兴会', '，', '他', '“', '喜欢', '王维', '、', '孟浩然', '，', '喜欢', '李白', '、', '柳宗元', '，', '而', '不', '甚', '喜欢', '杜甫', '，', '更', '有点', '痛恨', '韩退', '之', '”', '①', '。']",大师系列传记_郭沫若传.txt
Nh,Nh,"(14, 15)","(17, 18)",孟浩然,李白,"['《唐诗》', '也', '给', '了', '他', '莫大', '的', '兴会', '，', '他', '“', '喜欢', '王维', '、', '孟浩然', '，', '喜欢', '李白', '、', '柳宗元', '，', '而', '不', '甚', '喜欢', '杜甫', '，', '更', '有点', '痛恨', '韩退', '之', '”', '①', '。']",大师系列传记_郭沫若传.txt
Nh,Nh,"(14, 15)","(19, 20)",孟浩然,柳宗元,"['《唐诗》', '也', '给', '了', '他', '莫大', '的', '兴会', '，', '他', '“', '喜欢', '王维', '、', '孟浩然', '，', '喜欢', '李白', '、', '柳宗元', '，', '而', '不', '甚', '喜欢', '杜甫', '，', '更', '有点', '痛恨', '韩退', '之', '”', '①', '。']",大师系列传记_郭沫若传.txt
Nh,Nh,"(17, 18)","(19, 20)",李白,柳宗元,"['《唐诗》', '也', '给', '了', '他', '莫大', '的', '兴会', '，', '他', '“', '喜欢', '王维', '、', '孟浩然', '，', '喜欢', '李白', '、', '柳宗元', '，', '而', '不', '甚', '喜欢', '杜甫', '，', '更', '有点', '痛恨', '韩退', '之', '”', '①', '。']",大师系列传记_郭沫若传.txt
Nh,Nh,"(19, 20)","(25, 26)",柳宗元,杜甫,"['《唐诗》', '也', '给', '了', '他', '莫大', '的', '兴会', '，', '他', '“', '喜欢', '王维', '、', '孟浩然', '，', '喜欢', '李白', '、', '柳宗元', '，', '而', '不', '甚', '喜欢', '杜甫', '，', '更', '有点', '痛恨', '韩退', '之', '”', '①', '。']",大师系列传记_郭沫若传.txt
Nh,BOOK,"(1, 2)","(3, 4)",袁枚,《随园诗话》,"['清代', '袁枚', '的', '《随园诗话》', '，', '其', '“', '标榜', '性情', '”', '亦', '与', '开贞喜', '“', '摆脱', '羁绊', '”', '相合', '。']",大师系列传记_郭沫若传.txt
Ns,BOOK,"(16, 17)","(10, 11)",上海,《地球韵言》,"['这种', '情势', '必定', '促使', '家塾', '教育', '也', '发生', '变革', '：', '《地球韵言》', '、', '《史鉴节要》', '、', '《算数备旨》', '以及', '上海', '出版', '的', '各种', '新式', '教科书', '，', '终', '被', '采用', '为', '课本', '，', '从而', '扭转', '了', '千百年来', '认定', '的', '“', '圣贤书', '外', '无', '学问', '”', '的', '倾向', '。']",大师系列传记_郭沫若传.txt
Ns,BOOK,"(16, 17)","(12, 13)",上海,《史鉴节要》,"['这种', '情势', '必定', '促使', '家塾', '教育', '也', '发生', '变革', '：', '《地球韵言》', '、', '《史鉴节要》', '、', '《算数备旨》', '以及', '上海', '出版', '的', '各种', '新式', '教科书', '，', '终', '被', '采用', '为', '课本', '，', '从而', '扭转', '了', '千百年来', '认定', '的', '“', '圣贤书', '外', '无', '学问', '”', '的', '倾向', '。']",大师系列传记_郭沫若传.txt
