Ns,Ns,"(1, 2)","(8, 9)",上海,美,"['\ufeff', '上海', '警察', ' ', '1927', '-', '1937', '【', '美', '】', '魏斐德著', '，', '章红', '等', '译海', '．']",《上海警察 1927-1937》【美】魏斐德.txt
Ns,Nh,"(8, 9)","(10, 11)",美,魏斐德著,"['\ufeff', '上海', '警察', ' ', '1927', '-', '1937', '【', '美', '】', '魏斐德著', '，', '章红', '等', '译海', '．']",《上海警察 1927-1937》【美】魏斐德.txt
Ns,Nh,"(8, 9)","(12, 13)",美,章红,"['\ufeff', '上海', '警察', ' ', '1927', '-', '1937', '【', '美', '】', '魏斐德著', '，', '章红', '等', '译海', '．']",《上海警察 1927-1937》【美】魏斐德.txt
Nh,Nh,"(10, 11)","(12, 13)",魏斐德著,章红,"['\ufeff', '上海', '警察', ' ', '1927', '-', '1937', '【', '美', '】', '魏斐德著', '，', '章红', '等', '译海', '．']",《上海警察 1927-1937》【美】魏斐德.txt
Nh,Ns,"(28, 29)","(35, 36)",魏,上海,"['上海', '占籍', '出版社', '，', '（', '上拇史', '研究', '译丛', '）', '巧', 'B', '_', '7', ' ', '53', ':', '5', ' ', '-', ' ', '3837', '—', '上', '…', ' ', ' ', 'l', '①', '魏', '②', '章', '…', 'Ⅲ', '警察', '历史', '上海', 'i', '布', '~', '19', '研一', '中国', '版本', '剧', '书馆', 'CIP', '数据', '核字', '(', '2004', ')', '第', 'OTP69', '母', '上海', '警察', '，', '㈣', 'Ⅻ', '，', '《', '率书据', '加利福尼亚大学', '出版社', 'J995', '年版泽', '出海', 't', '研巍泽丛', '上海', '督察', '，', '莲', ']', '魂', '韭', '罐菁章', '￡', '陈雁盘', '燕', '张哓阳泽用', '育民授', '世纪', '出版', '集团', '出版', '、', '发行', '海', '古籍', '出版', '杜', '（', '上海', '错盘', '二路', 'm', '号', '邮', '咄', '编码', '姒', '删', '，', '、', '¨', '丽址', 'i', ' ', 'nFw', '_', 'Wji', '型', 'Ⅲ', '__', '趔', '—', 'l', '搬', 'Id', '里', 'J', '.', 'M', '婴', '__', '塑品史', '日日', '址', '：', '竺型', '生', '鲤', '！']",《上海警察 1927-1937》【美】魏斐德.txt
Ns,Ns,"(35, 36)","(41, 42)",上海,中国,"['上海', '占籍', '出版社', '，', '（', '上拇史', '研究', '译丛', '）', '巧', 'B', '_', '7', ' ', '53', ':', '5', ' ', '-', ' ', '3837', '—', '上', '…', ' ', ' ', 'l', '①', '魏', '②', '章', '…', 'Ⅲ', '警察', '历史', '上海', 'i', '布', '~', '19', '研一', '中国', '版本', '剧', '书馆', 'CIP', '数据', '核字', '(', '2004', ')', '第', 'OTP69', '母', '上海', '警察', '，', '㈣', 'Ⅻ', '，', '《', '率书据', '加利福尼亚大学', '出版社', 'J995', '年版泽', '出海', 't', '研巍泽丛', '上海', '督察', '，', '莲', ']', '魂', '韭', '罐菁章', '￡', '陈雁盘', '燕', '张哓阳泽用', '育民授', '世纪', '出版', '集团', '出版', '、', '发行', '海', '古籍', '出版', '杜', '（', '上海', '错盘', '二路', 'm', '号', '邮', '咄', '编码', '姒', '删', '，', '、', '¨', '丽址', 'i', ' ', 'nFw', '_', 'Wji', '型', 'Ⅲ', '__', '趔', '—', 'l', '搬', 'Id', '里', 'J', '.', 'M', '婴', '__', '塑品史', '日日', '址', '：', '竺型', '生', '鲤', '！']",《上海警察 1927-1937》【美】魏斐德.txt
Ni,Ns,"(62, 64)","(69, 70)",加利福尼亚大学出版社,上海,"['上海', '占籍', '出版社', '，', '（', '上拇史', '研究', '译丛', '）', '巧', 'B', '_', '7', ' ', '53', ':', '5', ' ', '-', ' ', '3837', '—', '上', '…', ' ', ' ', 'l', '①', '魏', '②', '章', '…', 'Ⅲ', '警察', '历史', '上海', 'i', '布', '~', '19', '研一', '中国', '版本', '剧', '书馆', 'CIP', '数据', '核字', '(', '2004', ')', '第', 'OTP69', '母', '上海', '警察', '，', '㈣', 'Ⅻ', '，', '《', '率书据', '加利福尼亚大学', '出版社', 'J995', '年版泽', '出海', 't', '研巍泽丛', '上海', '督察', '，', '莲', ']', '魂', '韭', '罐菁章', '￡', '陈雁盘', '燕', '张哓阳泽用', '育民授', '世纪', '出版', '集团', '出版', '、', '发行', '海', '古籍', '出版', '杜', '（', '上海', '错盘', '二路', 'm', '号', '邮', '咄', '编码', '姒', '删', '，', '、', '¨', '丽址', 'i', ' ', 'nFw', '_', 'Wji', '型', 'Ⅲ', '__', '趔', '—', 'l', '搬', 'Id', '里', 'J', '.', 'M', '婴', '__', '塑品史', '日日', '址', '：', '竺型', '生', '鲤', '！']",《上海警察 1927-1937》【美】魏斐德.txt
Nh,Ns,"(91, 92)","(93, 94)",杜,上海,"['上海', '占籍', '出版社', '，', '（', '上拇史', '研究', '译丛', '）', '巧', 'B', '_', '7', ' ', '53', ':', '5', ' ', '-', ' ', '3837', '—', '上', '…', ' ', ' ', 'l', '①', '魏', '②', '章', '…', 'Ⅲ', '警察', '历史', '上海', 'i', '布', '~', '19', '研一', '中国', '版本', '剧', '书馆', 'CIP', '数据', '核字', '(', '2004', ')', '第', 'OTP69', '母', '上海', '警察', '，', '㈣', 'Ⅻ', '，', '《', '率书据', '加利福尼亚大学', '出版社', 'J995', '年版泽', '出海', 't', '研巍泽丛', '上海', '督察', '，', '莲', ']', '魂', '韭', '罐菁章', '￡', '陈雁盘', '燕', '张哓阳泽用', '育民授', '世纪', '出版', '集团', '出版', '、', '发行', '海', '古籍', '出版', '杜', '（', '上海', '错盘', '二路', 'm', '号', '邮', '咄', '编码', '姒', '删', '，', '、', '¨', '丽址', 'i', ' ', 'nFw', '_', 'Wji', '型', 'Ⅲ', '__', '趔', '—', 'l', '搬', 'Id', '里', 'J', '.', 'M', '婴', '__', '塑品史', '日日', '址', '：', '竺型', '生', '鲤', '！']",《上海警察 1927-1937》【美】魏斐德.txt
Nh,Ns,"(91, 92)","(95, 96)",杜,二路,"['上海', '占籍', '出版社', '，', '（', '上拇史', '研究', '译丛', '）', '巧', 'B', '_', '7', ' ', '53', ':', '5', ' ', '-', ' ', '3837', '—', '上', '…', ' ', ' ', 'l', '①', '魏', '②', '章', '…', 'Ⅲ', '警察', '历史', '上海', 'i', '布', '~', '19', '研一', '中国', '版本', '剧', '书馆', 'CIP', '数据', '核字', '(', '2004', ')', '第', 'OTP69', '母', '上海', '警察', '，', '㈣', 'Ⅻ', '，', '《', '率书据', '加利福尼亚大学', '出版社', 'J995', '年版泽', '出海', 't', '研巍泽丛', '上海', '督察', '，', '莲', ']', '魂', '韭', '罐菁章', '￡', '陈雁盘', '燕', '张哓阳泽用', '育民授', '世纪', '出版', '集团', '出版', '、', '发行', '海', '古籍', '出版', '杜', '（', '上海', '错盘', '二路', 'm', '号', '邮', '咄', '编码', '姒', '删', '，', '、', '¨', '丽址', 'i', ' ', 'nFw', '_', 'Wji', '型', 'Ⅲ', '__', '趔', '—', 'l', '搬', 'Id', '里', 'J', '.', 'M', '婴', '__', '塑品史', '日日', '址', '：', '竺型', '生', '鲤', '！']",《上海警察 1927-1937》【美】魏斐德.txt
Ns,Ns,"(93, 94)","(95, 96)",上海,二路,"['上海', '占籍', '出版社', '，', '（', '上拇史', '研究', '译丛', '）', '巧', 'B', '_', '7', ' ', '53', ':', '5', ' ', '-', ' ', '3837', '—', '上', '…', ' ', ' ', 'l', '①', '魏', '②', '章', '…', 'Ⅲ', '警察', '历史', '上海', 'i', '布', '~', '19', '研一', '中国', '版本', '剧', '书馆', 'CIP', '数据', '核字', '(', '2004', ')', '第', 'OTP69', '母', '上海', '警察', '，', '㈣', 'Ⅻ', '，', '《', '率书据', '加利福尼亚大学', '出版社', 'J995', '年版泽', '出海', 't', '研巍泽丛', '上海', '督察', '，', '莲', ']', '魂', '韭', '罐菁章', '￡', '陈雁盘', '燕', '张哓阳泽用', '育民授', '世纪', '出版', '集团', '出版', '、', '发行', '海', '古籍', '出版', '杜', '（', '上海', '错盘', '二路', 'm', '号', '邮', '咄', '编码', '姒', '删', '，', '、', '¨', '丽址', 'i', ' ', 'nFw', '_', 'Wji', '型', 'Ⅲ', '__', '趔', '—', 'l', '搬', 'Id', '里', 'J', '.', 'M', '婴', '__', '塑品史', '日日', '址', '：', '竺型', '生', '鲤', '！']",《上海警察 1927-1937》【美】魏斐德.txt
