Nh,Ns,"(1, 2)","(6, 7)",王树增,北京,"['\ufeff', '王树增', ' ', '1952', '年', '生于', '北京', '。']",《1911之革命尚未成功》作者：王树增.txt
BOOK,BOOK,"(4, 5)","(6, 7)",《朝鲜战争》,《长征》,"['著', '有', '长篇', '纪实文学', '《朝鲜战争》', '、', '《长征》', '、', '《解放战争》', '（', '上下', '）', '、', '《1901》', '等', '。']",《1911之革命尚未成功》作者：王树增.txt
BOOK,BOOK,"(4, 5)","(8, 9)",《朝鲜战争》,《解放战争》,"['著', '有', '长篇', '纪实文学', '《朝鲜战争》', '、', '《长征》', '、', '《解放战争》', '（', '上下', '）', '、', '《1901》', '等', '。']",《1911之革命尚未成功》作者：王树增.txt
BOOK,BOOK,"(6, 7)","(8, 9)",《长征》,《解放战争》,"['著', '有', '长篇', '纪实文学', '《朝鲜战争》', '、', '《长征》', '、', '《解放战争》', '（', '上下', '）', '、', '《1901》', '等', '。']",《1911之革命尚未成功》作者：王树增.txt
BOOK,BOOK,"(6, 7)","(13, 14)",《长征》,《1901》,"['著', '有', '长篇', '纪实文学', '《朝鲜战争》', '、', '《长征》', '、', '《解放战争》', '（', '上下', '）', '、', '《1901》', '等', '。']",《1911之革命尚未成功》作者：王树增.txt
BOOK,BOOK,"(8, 9)","(13, 14)",《解放战争》,《1901》,"['著', '有', '长篇', '纪实文学', '《朝鲜战争》', '、', '《长征》', '、', '《解放战争》', '（', '上下', '）', '、', '《1901》', '等', '。']",《1911之革命尚未成功》作者：王树增.txt
Nh,Ns,"(4, 5)","(7, 8)",陈载,广东,"['这个', '声称', '自己', '名叫', '陈载', '之', '的', '广东', '人', '，', '已经', '被', '囚禁', '在', '一间', '斗室', '里', '，', '剩下', '的', '事', '，', '就是', '把', '他', '押解到', '刑场', '上', '就行了', '。']",《1911之革命尚未成功》作者：王树增.txt
Ns,Nh,"(42, 43)","(43, 44)",中国,万里,"['只不过', '，', '眼前', '这件', '事', '稍微', '麻烦', '了', '一点', '，', '因为', '这个', '就要', '掉', '脑袋', '的', '臣民', '被', '关押', '的', '地方', '，', '既', '不是', '大', '清政府', '刑部', '的', '大狱', '，', '也', '不是', '大清', '国土', '上', '某个', '衙门', '的', '黑牢', '，', '而是', '距离', '中国', '万里', '之遥', '的', '英国伦敦', '。']",《1911之革命尚未成功》作者：王树增.txt
Ns,Ns,"(42, 43)","(46, 47)",中国,英国伦敦,"['只不过', '，', '眼前', '这件', '事', '稍微', '麻烦', '了', '一点', '，', '因为', '这个', '就要', '掉', '脑袋', '的', '臣民', '被', '关押', '的', '地方', '，', '既', '不是', '大', '清政府', '刑部', '的', '大狱', '，', '也', '不是', '大清', '国土', '上', '某个', '衙门', '的', '黑牢', '，', '而是', '距离', '中国', '万里', '之遥', '的', '英国伦敦', '。']",《1911之革命尚未成功》作者：王树增.txt
Nh,Ns,"(43, 44)","(46, 47)",万里,英国伦敦,"['只不过', '，', '眼前', '这件', '事', '稍微', '麻烦', '了', '一点', '，', '因为', '这个', '就要', '掉', '脑袋', '的', '臣民', '被', '关押', '的', '地方', '，', '既', '不是', '大', '清政府', '刑部', '的', '大狱', '，', '也', '不是', '大清', '国土', '上', '某个', '衙门', '的', '黑牢', '，', '而是', '距离', '中国', '万里', '之遥', '的', '英国伦敦', '。']",《1911之革命尚未成功》作者：王树增.txt
Nh,Ns,"(15, 17)","(22, 23)",邓廷铿,广东,"['就', '在', '公使馆', '与', '轮船', '公司', '就', '船费', '讨价还价', '的', '时候', '，', '公使馆', '的', '翻译', '邓廷', '铿', '与', '那个', '被', '囚禁', '的', '广东', '人', '进行', '了', '交谈', '。']",《1911之革命尚未成功》作者：王树增.txt
Ns,Nh,"(2, 3)","(7, 8)",广东,陈,"['可是', '，', '广东', '人', '一口咬定', '自己', '姓', '陈', '，', '并', '说', '之所以', '受到', '朝廷', '通缉', '，', '一是', '祸从口出', '：', ' ', '“', '我素重', '西学', '，', '深谙', '洋习', '，', '欲', '将', '中国', '格外', '振兴', '，', '喜', '在', '广', '报上', '发议论', '，', '此', '我', '谋反', '之', '是非', '所由起', '也', '”', '；']",《1911之革命尚未成功》作者：王树增.txt
Ns,Nh,"(9, 10)","(16, 17)",广东,孙文,"['思索', '了', '一会儿', '之后', '，', '这个', '被', '囚禁', '的', '广东', '人', '说', '：', '“', '我', '是', '孙文', '，', '非', '陈姓', '也', '。', '”']",《1911之革命尚未成功》作者：王树增.txt
Nh,Ns,"(0, 1)","(6, 7)",孙文,广州,"['孙文', '是', '这样', '解释', '自己', '与', '广州', '暴乱', '的', '关联', '的', '：', '暴动', '的', '领导人', '不是', '自己', '，', '而是', '一个', '富裕', '的', '广东', '商人', '；']",《1911之革命尚未成功》作者：王树增.txt
Ns,Nh,"(1, 2)","(4, 5)",广东,孙文,"['这个', '广东', '人除', '“', '孙文', '”', '之外', '，', '还有', '很多', '名字', '：', '中山', '樵', '、', '高野', '长雄', '、', '陈载', '之', '、', '中山', '二郎', '、', '高达生', '、', '杜嘉诺', '、', '孙逸仙', '、', '阿罗', '哈', '等等', '。']",《1911之革命尚未成功》作者：王树增.txt
Ns,Nh,"(12, 13)","(18, 19)",中山,陈载,"['这个', '广东', '人除', '“', '孙文', '”', '之外', '，', '还有', '很多', '名字', '：', '中山', '樵', '、', '高野', '长雄', '、', '陈载', '之', '、', '中山', '二郎', '、', '高达生', '、', '杜嘉诺', '、', '孙逸仙', '、', '阿罗', '哈', '等等', '。']",《1911之革命尚未成功》作者：王树增.txt
Nh,Ns,"(18, 19)","(21, 22)",陈载,中山,"['这个', '广东', '人除', '“', '孙文', '”', '之外', '，', '还有', '很多', '名字', '：', '中山', '樵', '、', '高野', '长雄', '、', '陈载', '之', '、', '中山', '二郎', '、', '高达生', '、', '杜嘉诺', '、', '孙逸仙', '、', '阿罗', '哈', '等等', '。']",《1911之革命尚未成功》作者：王树增.txt
Nh,Nh,"(18, 19)","(24, 25)",陈载,高达生,"['这个', '广东', '人除', '“', '孙文', '”', '之外', '，', '还有', '很多', '名字', '：', '中山', '樵', '、', '高野', '长雄', '、', '陈载', '之', '、', '中山', '二郎', '、', '高达生', '、', '杜嘉诺', '、', '孙逸仙', '、', '阿罗', '哈', '等等', '。']",《1911之革命尚未成功》作者：王树增.txt
Ns,Nh,"(21, 22)","(24, 25)",中山,高达生,"['这个', '广东', '人除', '“', '孙文', '”', '之外', '，', '还有', '很多', '名字', '：', '中山', '樵', '、', '高野', '长雄', '、', '陈载', '之', '、', '中山', '二郎', '、', '高达生', '、', '杜嘉诺', '、', '孙逸仙', '、', '阿罗', '哈', '等等', '。']",《1911之革命尚未成功》作者：王树增.txt
Ns,Nh,"(21, 22)","(26, 27)",中山,杜嘉诺,"['这个', '广东', '人除', '“', '孙文', '”', '之外', '，', '还有', '很多', '名字', '：', '中山', '樵', '、', '高野', '长雄', '、', '陈载', '之', '、', '中山', '二郎', '、', '高达生', '、', '杜嘉诺', '、', '孙逸仙', '、', '阿罗', '哈', '等等', '。']",《1911之革命尚未成功》作者：王树增.txt
Ns,Nh,"(21, 22)","(28, 29)",中山,孙逸仙,"['这个', '广东', '人除', '“', '孙文', '”', '之外', '，', '还有', '很多', '名字', '：', '中山', '樵', '、', '高野', '长雄', '、', '陈载', '之', '、', '中山', '二郎', '、', '高达生', '、', '杜嘉诺', '、', '孙逸仙', '、', '阿罗', '哈', '等等', '。']",《1911之革命尚未成功》作者：王树增.txt
