Ns,Ns,"(0, 1)","(2, 3)",新会县,珠江三角洲,"['新会县', '位于', '珠江三角洲', '的', '南端', '，', '距', '花城', '广州', '１', '０', '０', '多公里', '。']",梁启超传.txt
Ns,Ns,"(2, 3)","(8, 9)",珠江三角洲,广州,"['新会县', '位于', '珠江三角洲', '的', '南端', '，', '距', '花城', '广州', '１', '０', '０', '多公里', '。']",梁启超传.txt
Ns,Nh,"(5, 6)","(9, 10)",翠亨村,梁启超,"['县里', '有', '一个', '风光旖旎', '的', '翠亨村', '，', '是', '比', '梁启超', '大', '７', '岁', '的', '伟大', '的', '中国', '资产阶级', '民主革命', '的', '先行者', '孙中山', '诞生', '的', '地方', '。']",梁启超传.txt
Nh,Ns,"(9, 10)","(16, 17)",梁启超,中国,"['县里', '有', '一个', '风光旖旎', '的', '翠亨村', '，', '是', '比', '梁启超', '大', '７', '岁', '的', '伟大', '的', '中国', '资产阶级', '民主革命', '的', '先行者', '孙中山', '诞生', '的', '地方', '。']",梁启超传.txt
Ns,Nh,"(16, 17)","(21, 22)",中国,孙中山,"['县里', '有', '一个', '风光旖旎', '的', '翠亨村', '，', '是', '比', '梁启超', '大', '７', '岁', '的', '伟大', '的', '中国', '资产阶级', '民主革命', '的', '先行者', '孙中山', '诞生', '的', '地方', '。']",梁启超传.txt
Ns,Ns,"(10, 11)","(16, 17)",南海县,苏村,"['由新会', '渡江', '向', '北约', '１', '０', '０', '华里', '，', '是', '南海县', '，', '那里', '的', '银圹', '乡', '苏村', '，', '是', '中国', '近代', '资产阶级', '改良派', '的', '主要', '代表', '，', '后来', '成为', '梁启超', '师傅', '的', '康有为', '的', '故乡', '。']",梁启超传.txt
Ns,Ns,"(16, 17)","(19, 20)",苏村,中国,"['由新会', '渡江', '向', '北约', '１', '０', '０', '华里', '，', '是', '南海县', '，', '那里', '的', '银圹', '乡', '苏村', '，', '是', '中国', '近代', '资产阶级', '改良派', '的', '主要', '代表', '，', '后来', '成为', '梁启超', '师傅', '的', '康有为', '的', '故乡', '。']",梁启超传.txt
Nh,Nh,"(29, 30)","(32, 33)",梁启超,康有为,"['由新会', '渡江', '向', '北约', '１', '０', '０', '华里', '，', '是', '南海县', '，', '那里', '的', '银圹', '乡', '苏村', '，', '是', '中国', '近代', '资产阶级', '改良派', '的', '主要', '代表', '，', '后来', '成为', '梁启超', '师傅', '的', '康有为', '的', '故乡', '。']",梁启超传.txt
Nh,Nh,"(0, 1)","(6, 7)",梁比康,梁,"['梁比康', '小', '１', '５', '岁', '，', '梁', '出生', '时', '，', '康已', '是', '饱读', '诗书', '的', '少年', '了', '。']",梁启超传.txt
Ns,Ns,"(2, 3)","(4, 5)",南海县,广州,"['如果', '由', '南海县', '越', '广州', '渡', '珠江', '向', '北约', '５', '０', '华里', '，', '就', '到', '了', '广东', '花县', '，', '这里', '是', '中国', '近代', '最', '著名', '的', '太平天国运动', '杰出', '领袖', '洪秀全', '的', '故乡', '。']",梁启超传.txt
Ns,Ns,"(2, 3)","(6, 7)",南海县,珠江,"['如果', '由', '南海县', '越', '广州', '渡', '珠江', '向', '北约', '５', '０', '华里', '，', '就', '到', '了', '广东', '花县', '，', '这里', '是', '中国', '近代', '最', '著名', '的', '太平天国运动', '杰出', '领袖', '洪秀全', '的', '故乡', '。']",梁启超传.txt
Ns,Ns,"(4, 5)","(6, 7)",广州,珠江,"['如果', '由', '南海县', '越', '广州', '渡', '珠江', '向', '北约', '５', '０', '华里', '，', '就', '到', '了', '广东', '花县', '，', '这里', '是', '中国', '近代', '最', '著名', '的', '太平天国运动', '杰出', '领袖', '洪秀全', '的', '故乡', '。']",梁启超传.txt
Ns,Ns,"(16, 18)","(21, 22)",广东花县,中国,"['如果', '由', '南海县', '越', '广州', '渡', '珠江', '向', '北约', '５', '０', '华里', '，', '就', '到', '了', '广东', '花县', '，', '这里', '是', '中国', '近代', '最', '著名', '的', '太平天国运动', '杰出', '领袖', '洪秀全', '的', '故乡', '。']",梁启超传.txt
Ns,Ns,"(6, 8)","(12, 13)",香山县南屏,美国,"['离茶', '坑', '村仅', '几十', '华里', '的', '香山县', '南屏', '村', ',', '是', '留学', '美国', '的', '贫家', '子弟', '容宏', '的', '故乡', '，', '他', '在', '梁启超', '出生', '的', '前', '一年', '率', '詹天佑', '等', '幼童', '往', '美国', '留学', '。']",梁启超传.txt
Ns,Nh,"(12, 13)","(16, 17)",美国,容宏,"['离茶', '坑', '村仅', '几十', '华里', '的', '香山县', '南屏', '村', ',', '是', '留学', '美国', '的', '贫家', '子弟', '容宏', '的', '故乡', '，', '他', '在', '梁启超', '出生', '的', '前', '一年', '率', '詹天佑', '等', '幼童', '往', '美国', '留学', '。']",梁启超传.txt
Nh,Nh,"(16, 17)","(22, 23)",容宏,梁启超,"['离茶', '坑', '村仅', '几十', '华里', '的', '香山县', '南屏', '村', ',', '是', '留学', '美国', '的', '贫家', '子弟', '容宏', '的', '故乡', '，', '他', '在', '梁启超', '出生', '的', '前', '一年', '率', '詹天佑', '等', '幼童', '往', '美国', '留学', '。']",梁启超传.txt
Nh,Nh,"(22, 23)","(28, 29)",梁启超,詹天佑,"['离茶', '坑', '村仅', '几十', '华里', '的', '香山县', '南屏', '村', ',', '是', '留学', '美国', '的', '贫家', '子弟', '容宏', '的', '故乡', '，', '他', '在', '梁启超', '出生', '的', '前', '一年', '率', '詹天佑', '等', '幼童', '往', '美国', '留学', '。']",梁启超传.txt
Nh,Ns,"(28, 29)","(32, 33)",詹天佑,美国,"['离茶', '坑', '村仅', '几十', '华里', '的', '香山县', '南屏', '村', ',', '是', '留学', '美国', '的', '贫家', '子弟', '容宏', '的', '故乡', '，', '他', '在', '梁启超', '出生', '的', '前', '一年', '率', '詹天佑', '等', '幼童', '往', '美国', '留学', '。']",梁启超传.txt
