Ns,Ns,"(3, 5)","(6, 7)",浙江绍兴,东昌,"['一个', '婴儿', '在', '浙江', '绍兴', '城内', '东昌', '坊', '口', '的', '新', '台门', '周宅', '诞生', '了', '。']",鲁迅传.txt
Ns,Nh,"(1, 2)","(3, 4)",中国,周鲁原,"['三是', '中国', '古代', '周鲁原', '是', '一家', '。']",鲁迅传.txt
Nh,Ns,"(14, 15)","(15, 16)",周,福清,"['而', '当初', '，', '这个', '婴儿', '的', '名字', '是', '由', '家庭', '的', '主人', '、', '祖父', '周', '福清', '取定', '的', '。']",鲁迅传.txt
Nh,Ns,"(0, 1)","(1, 2)",周,福清,"['周', '福清', '此时', '正在', '京城', '做官', '，', '抱孙', '的', '喜讯', '传到', '他', '那里', '时', '，', '正好', '有', '姓张', '的', '高官', '来访', '，', '于是', '便', '给', '这', '婴儿', '取', '乳名', '为', '阿张', '，', '学名', '樟寿', '，', '字豫山', '。']",鲁迅传.txt
Nh,Ns,"(0, 1)","(4, 5)",周,京城,"['周', '福清', '此时', '正在', '京城', '做官', '，', '抱孙', '的', '喜讯', '传到', '他', '那里', '时', '，', '正好', '有', '姓张', '的', '高官', '来访', '，', '于是', '便', '给', '这', '婴儿', '取', '乳名', '为', '阿张', '，', '学名', '樟寿', '，', '字豫山', '。']",鲁迅传.txt
Ns,Ns,"(1, 2)","(4, 5)",福清,京城,"['周', '福清', '此时', '正在', '京城', '做官', '，', '抱孙', '的', '喜讯', '传到', '他', '那里', '时', '，', '正好', '有', '姓张', '的', '高官', '来访', '，', '于是', '便', '给', '这', '婴儿', '取', '乳名', '为', '阿张', '，', '学名', '樟寿', '，', '字豫山', '。']",鲁迅传.txt
Nh,Ns,"(3, 4)","(5, 6)",鲁迅,南京,"['1898', '年', '，', '鲁迅', '到', '南京', '求学', '时', '，', '又', '改名', '为', '周树人', '。']",鲁迅传.txt
Ns,Nh,"(1, 2)","(5, 6)",中国,鲁迅,"['在', '中国', '近代史', '上', '，', '鲁迅', '就是', '这样', '的', '最', '伟大', '的', '叛逆者', '。']",鲁迅传.txt
Nh,Nh,"(0, 1)","(5, 6)",鲁迅,周氏,"['鲁迅', '诞生', '的', '时候', '，', '周氏', '家族', '的', '黄金时代', '已经', '结束', '，', '但是', '还', '没有', '完全', '破落', '。']",鲁迅传.txt
Nh,Ns,"(0, 1)","(2, 4)",周家,湖南道州,"['周家', '原籍', '湖南', '道州', '，', '迁居', '绍兴', '，', '到', '鲁迅', '这', '一辈', '，', '已', '是', '第十四代', '了', '。']",鲁迅传.txt
Nh,Ns,"(0, 1)","(6, 7)",周家,绍兴,"['周家', '原籍', '湖南', '道州', '，', '迁居', '绍兴', '，', '到', '鲁迅', '这', '一辈', '，', '已', '是', '第十四代', '了', '。']",鲁迅传.txt
Ns,Ns,"(2, 4)","(6, 7)",湖南道州,绍兴,"['周家', '原籍', '湖南', '道州', '，', '迁居', '绍兴', '，', '到', '鲁迅', '这', '一辈', '，', '已', '是', '第十四代', '了', '。']",鲁迅传.txt
Ns,Nh,"(2, 4)","(9, 10)",湖南道州,鲁迅,"['周家', '原籍', '湖南', '道州', '，', '迁居', '绍兴', '，', '到', '鲁迅', '这', '一辈', '，', '已', '是', '第十四代', '了', '。']",鲁迅传.txt
Ns,Nh,"(6, 7)","(9, 10)",绍兴,鲁迅,"['周家', '原籍', '湖南', '道州', '，', '迁居', '绍兴', '，', '到', '鲁迅', '这', '一辈', '，', '已', '是', '第十四代', '了', '。']",鲁迅传.txt
Nh,Ns,"(5, 6)","(6, 7)",周,福清,"['这个', '仕宦', '之家', '的', '台柱', '周', '福清', '，', '字介孚', '，', '进士', '出身', '，', '经', '殿试', '选', '为', '翰林院', '庶', '吉士', '。']",鲁迅传.txt
Nh,Ns,"(5, 6)","(6, 7)",周,福清,"['知府', '以为', '这么', '一压', '，', '周', '福清', '该要', '收敛', '了', '，', '没想到', '他', '竟', '粗声粗气', '地', '继续', '顶撞', '说', '：', '“', '皇上', '是', '什么', '东西', '，', '什么', '叫作', '皇上', '?']",鲁迅传.txt
Nh,BOOK,"(24, 25)","(27, 28)",鲁迅,《白蛇传》,"['他', '的', '前妻', '孙夫人', '很', '早就', '去世', '了', '，', '他', '的', '后妻', '蒋夫人', '是', '个', '聪明', '、', '幽默', '和', '善良', '的', '乡村', '女子', '，', '鲁迅', '最初', '知道', '《白蛇传》', '这样', '一些', '迷人', '的', '故事', '，', '就是', '这位', '继', '祖母', '注入', '他', '的', '心灵', '的', '。']",鲁迅传.txt
Nh,Nh,"(12, 13)","(15, 16)",鲁迅,周伯宜,"['祖父', '这种', '刚直', '而', '暴烈', '的', '气质', '，', '似乎', '也', '传给', '了', '鲁迅', '的', '父亲', '周伯宜', '。']",鲁迅传.txt
Nh,Nh,"(0, 1)","(4, 5)",鲁迅,周伯宜,"['鲁迅', '诞生', '时', '，', '周伯宜', '二十二岁', '，', '比', '妻子', '鲁瑞', '年轻', '三岁', '。']",鲁迅传.txt
Nh,Nh,"(4, 5)","(9, 10)",周伯宜,鲁瑞,"['鲁迅', '诞生', '时', '，', '周伯宜', '二十二岁', '，', '比', '妻子', '鲁瑞', '年轻', '三岁', '。']",鲁迅传.txt
