T,-1,梁启超,《清议报》,"['正', '在', '日本', '游历', '的', '蔡元培', '听说', '后', '，', '决定', '亲自', '陪同', '吴稚晖', '回国', '，', '而', '梁启超', '赶到', '车站', '送行', '，', '之后', '在', '《清议报》', '上', '撰文', '言', '：', '“', '吴君', '之', '被捕', '也', '，', '以为', '是', '可', '杀', '不可辱', '，', '欲', '以', '一', '丝', '唤醒', '群梦', '，', '引起', '国民', '权利', '思想', '。', '”']","(16, 17)","(23, 24)",6.184691714670108,4.086395427124249,4.628399148623785
T,-1,梁启超,《清议报》,"['后', '又', '读', '了', '梁启超', '主办', '的', '《清议报》', '，', '“', '日日言立宪', '，', '日日', '望立宪', '，', '向', '人', '则', '日', '西', '太', '后', '之', '误国', '，', '今皇', '之', '圣明', '，', '人', '有', '非康梁者', '，', '则', '排斥', '之', '”', '——', '革命派', '此时', '变成', '了', '君主立宪派', '。']","(4, 5)","(7, 8)",6.184691714670108,4.086395427124249,4.628399148623785
T,-1,黄克强,《民立报》,"['《民立报》', '载', '：', '“', '至', '黄克强', '先生', '家', '，', '相见', '泪', '下', '，', '谓', '不', '意', '海外', '归来', '，', '失此', '良友', '，', '为', '党', '为', '国', '，', '血泪', '皆', '枯', '。']","(5, 6)","(0, 1)",4.67670275257035,4.064495426792727,1.2304489213782739
T,-1,张仁荣,《青岛晚报》,"['前些年', '，', '我', '所', '供职', '的', '《青岛晚报》', '体育部', '张仁荣', '主任', '去', '汉城', '采访', '，', '途中', '因', '搭', '错车', '而', '与', '团队', '失散', '。']","(8, 9)","(6, 7)",4.515887084195267,5.834421339544144,0.0
T,-1,蔡锷,《异哉所谓国体问题者》,"['梁启超', '的', '《异哉所谓国体问题者》', '发表', '了', '，', '蔡锷', '声称', '他', '的', '老师', '是', '个', '不', '识', '时务', '的', '书呆子', '。']","(6, 7)","(2, 3)",5.587712087225425,1.8692317197309762,1.9867717342662448
T,1,袁,《戊戌日记》,"['关于', '谭', '、', '袁二位', '的', '夤夜', '密谈', '，', '世上', '一直', '流传', '着', '两', '种', '版本', '，', '一', '是', '维新党', '首领', '康有为', '和', '大将', '梁启超', '的', '流传', '甚', '广', '的', '追记', '，', '一', '是', '袁', '自己', '于', '民国', '时期', '发表', '的', '《戊戌日记》', '。']","(33, 34)","(40, 41)",7.093421720185982,1.9030899869919433,1.7781512503836434
T,-1,吴君,《清议报》,"['正', '在', '日本', '游历', '的', '蔡元培', '听说', '后', '，', '决定', '亲自', '陪同', '吴稚晖', '回国', '，', '而', '梁启超', '赶到', '车站', '送行', '，', '之后', '在', '《清议报》', '上', '撰文', '言', '：', '“', '吴君', '之', '被捕', '也', '，', '以为', '是', '可', '杀', '不可辱', '，', '欲', '以', '一', '丝', '唤醒', '群梦', '，', '引起', '国民', '权利', '思想', '。', '”']","(29, 30)","(23, 24)",5.222719071705557,4.086395427124249,0.47712125471966244
T,1,李大钊,《狱中自述》,"['那个', '年代', '，', '从', '李大钊', '的', '《狱中自述》', '里', '找', '出', '点', '乞降', '的', '嫌疑', '不', '是', '太', '费事儿', '的', '事', '。']","(4, 5)","(6, 7)",5.170264649807219,3.48869169831694,4.311775045635739
T,-1,赵锡田部,《文史资料选辑》,"['胡临聪', '：', '《', '蒋军', '进犯', '晋冀鲁豫', '解放区', '和', '整三师', '赵锡田部', '的', '被', '歼', '》', '，', '《文史资料选辑》', '第28', '辑', '，', '第58', '页', '。']","(9, 10)","(15, 16)",1.1461280356782377,4.8970825075405955,1.6334684555795864
T,-1,鉴：文,《民立报》,"['《民立报》', '转', '民国', '政府', '鉴：文', '（', '孙文', '）', '已', '循途', '东', '归', '，', '自', '美', '徂', '欧', '，', '皆', '密晤', '要', '人', '，', '中立', '之', '约', '甚固', '。']","(4, 5)","(0, 1)",7.045323017912285,4.064495426792727,1.4313637641589871
T,1,白居易,《云居寺孤桐》,"['于是', '，', '他', '又', '从', '唐代', '白居易', '的', '《云居寺孤桐》', '一', '诗', '得到', '启发', '，', '改名', '""', '孤桐', '""', '。']","(6, 7)","(8, 9)",6.496929786383537,1.6232492903979003,1.5682017240669948
